GOAL HALF MARATHON - LEVEL 1 - TRAIN 3 TO 5 HOURS PER WEEK,,,,,,,,,,
,, , , , , , , ,,
,,Rest or recovery,Aerobic + strength,Speed,Recovery below MAF,Aerobic + strength,Aerobic ,Long run or tempo,,
,Higher intensity,,,"warm up 15 minutes

45 minutes fartleks or hills

cool down 15 minutes",,,,"Total workout time is 120 minutes: 

  Warm up 15 minutes
+
 MAF test 5 miles / 8km
+
If body feels good after the MAF test, add some speed play on or off the track. Or you can run the remaining time at or below MAF. 
+
Cool down 15 minutes",5 hours,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 45 minutes", , ,
,Strength training, ,yes, , , yes, , , ,
11,Aerobic run or walk,rest,45 min at or below MAF, , ,40 min at or below MAF,45 min at or below MAF,,280 minutes,peak
,Higher intensity,,,"warm up 15 minutes

3 x 8 minutes @ faster than conversational pace, with 3 minutes recovery jog between. 

cool down 15 minutes", ,,,"Strong finish run

60 minutes at or below MAF

20 minutes @ higher than MAF, pick up the pace if you have energy left. Focus on good form.

10 minutes below MAF ",4 hours 40 minutes,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 45 minutes", , ,
,Strength training, ,yes, , , yes, , , ,
12,Aerobic run or walk,rest,45 min at or below MAF, , ,40 min at or below MAF,30 min at or below MAF, ,163 minutes,Taper
,Higher intensity, , ,"warm up 15 minutes

4 intervals @ comfortable higher intensity with 90 sec recovery jog between intervals

6 minutes
4 minutes
2 minutes
1 minute

cool down 15 minutes", , , ,Race day,2 hours 43 minutes,Race week
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", , , , ,
,Strength training, ,no, , ,no, , , ,
